state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
NEW YORK,2011,7215687,56951,69202,85392,35540,82698,95697,114573,55708
NORTH CAROLINA,2011,3664119,46291,57171,69297,27901,63298,74432,87472,38831
NORTH DAKOTA,2011,278669,49415,65871,73585,27555,64106,79594,88071,37461
OHIO,2011,4554007,48071,60762,72455,27863,63477,75698,88438,38235
OKLAHOMA,2011,1432735,44287,55296,65387,25924,59961,70786,81663,36049
OREGON,2011,1509554,49850,61302,70853,30922,65589,77040,87382,42509
PENNSYLVANIA,2011,4952566,51651,65105,76327,28775,69282,83126,95608,40813
RHODE ISLAND,2011,410475,55975,72724,86775,32237,74010,89295,104227,45718
SOUTH CAROLINA,2011,1758732,44587,55220,68419,26229,60128,70605,84214,36416
SOUTH DAKOTA,2011,318466,48010,61412,70090,27321,61832,74770,84605,35361
TENNESSEE,2011,2457997,43989,54332,65288,26068,60516,71248,83356,36641
TEXAS,2011,8667807,50920,60004,73319,31812,70777,80423,94455,45240
UTAH,2011,871358,57783,65646,72050,33178,72305,80685,87982,43618
VERMONT,2011,256711,53422,66340,75473,31486,68098,81259,91256,41904
VIRGINIA,2011,2991025,63302,75962,89580,39150,85323,98742,113505,54500
WASHINGTON,2011,2602568,58890,71250,82486,37223,76504,89102,101094,50146
WEST VIRGINIA,2011,740080,39550,50511,58220,21240,52980,63427,71585,31220
WISCONSIN,2011,2279738,52374,66065,75681,30516,66693,79821,90355,39880
WYOMING,2011,219628,56380,69058,77595,32535,70940,83424,92111,43330
ALABAMA,2012,1837576,43160,54326,67602,24241,59273,70237,83631,34788
ALASKA,2012,252991,69917,81752,94935,44228,86208,97631,112075,57551
ARIZONA,2012,2357158,50256,59563,70633,32710,67444,77301,89183,45310
ARKANSAS,2012,1128797,40531,50453,60255,22818,55158,64955,75704,32804
CALIFORNIA,2012,12466331,61400,69883,84974,40843,85265,94829,110665,59392
COLORADO,2012,1962753,58244,72455,83959,36493,77900,92254,104499,49398
CONNECTICUT,2012,1360184,69519,87182,104171,39281,97051,116324,136514,55175
DELAWARE,2012,334076,60119,72069,85827,36618,77453,89415,104191,48607
FLORIDA,2012,7147013,47309,57128,68240,30472,66599,77660,90273,43700
GEORGIA,2012,3508477,49604,59198,73493,30559,67659,77926,93023,43072
HAWAII,2012,447453,67492,79595,89601,40538,84466,95407,106182,53241
IDAHO,2012,577648,47015,55636,62559,27063,59974,68623,75921,37268
ILLINOIS,2012,4774275,56853,70144,83735,33783,77163,90809,105990,48303
INDIANA,2012,2478846,48374,60012,70556,28300,62715,73803,85069,37952
IOWA,2012,1223509,51129,64772,73544,28868,64881,78040,87433,38120
KANSAS,2012,1109391,51273,64731,74805,29546,67564,80888,91942,39612
KENTUCKY,2012,1691716,42610,53833,64855,23874,57876,68559,79795,34071
LOUISIANA,2012,1696499,44673,56047,73324,25408,62369,73466,90306,37629
MAINE,2012,553208,48219,60408,69069,27707,62392,74550,84025,38571
MARYLAND,2012,2138806,72999,88092,106598,45126,94941,110686,130073,58875
MASSACHUSETTS,2012,2525694,66658,84380,101125,38866,89965,108062,126464,55234
MICHIGAN,2012,3818931,48471,60749,72623,28354,64538,76708,89243,38904
MINNESOTA,2012,2101875,59126,74032,84371,34274,76372,91321,102989,45819
MISSISSIPPI,2012,1087791,38882,48300,62785,21375,54176,63148,77815,32155
MISSOURI,2012,2358270,47333,59395,70455,27775,63405,75484,87196,38246
MONTANA,2012,405508,45456,58951,66609,26980,59569,71880,80041,36412
NEBRASKA,2012,721026,51381,64820,74178,29396,65979,79249,89174,39023
NEVADA,2012,992896,54083,62789,73949,36747,70775,79537,91536,50541
NEW HAMPSHIRE,2012,516845,64925,79488,89675,37167,82346,95859,106914,50716
NEW JERSEY,2012,3186878,71637,87389,104628,39774,96602,112730,131149,56473
NEW MEXICO,2012,763844,44886,54221,67387,28198,61477,70760,83745,40777
NEW YORK,2012,7230896,57683,69968,86906,36030,83578,96853,116213,56313
NORTH CAROLINA,2012,3693221,46450,57146,69888,28218,63562,74684,88195,39185
NORTH DAKOTA,2012,282667,51641,68293,76946,30195,67426,83141,92261,40393
OHIO,2012,4555709,48246,61163,73308,27940,63996,76523,89692,38484
OKLAHOMA,2012,1439292,44891,56068,66598,26272,60788,71663,82909,36750
OREGON,2012,1512718,50036,61438,71355,31072,66161,77630,88335,43010
PENNSYLVANIA,2012,4959633,52267,65980,77746,29221,70243,84421,97439,41381
RHODE ISLAND,2012,410639,56102,72872,88243,32127,74605,90262,106064,45919
SOUTH CAROLINA,2012,1768255,44623,55058,68756,26377,60416,70863,84949,36789
SOUTH DAKOTA,2012,320467,49091,62967,71818,28178,63453,76985,87395,36329
TENNESSEE,2012,2468841,44140,54737,65978,26125,60861,71757,83973,36948
TEXAS,2012,8782598,51563,60621,74512,31973,71651,81437,95937,45867
UTAH,2012,880873,58164,66014,72753,33325,73002,81435,88987,44108
VERMONT,2012,256830,54168,67274,76641,31957,69033,82508,92723,42931
VIRGINIA,2012,3006219,63636,76566,90806,39365,86343,99955,115083,55061
WASHINGTON,2012,2619995,59374,71939,83277,37441,77232,90148,102285,50463
WEST VIRGINIA,2012,742674,40400,51770,59930,21673,54072,64914,73471,31966
WISCONSIN,2012,2286339,52627,66415,76439,30585,67188,80551,91400,40289
WYOMING,2012,221479,56573,70013,78694,32245,70836,83409,92550,43328
ALABAMA,2013,1838683,43253,54362,67834,24332,59631,70661,84383,35032
ALASKA,2013,251899,70760,82870,95963,44200,87235,99002,113339,57785
ARIZONA,2013,2370289,49774,58897,70523,32315,66971,76682,88809,45022
ARKANSAS,2013,1129723,40768,50759,60778,23120,55749,65633,76643,33302
CALIFORNIA,2013,12542460,61094,69661,85024,40611,85408,94926,111056,59554
COLORADO,2013,1977591,58433,72687,84486,36615,78383,92644,105093,50001
CONNECTICUT,2013,1355849,69461,87245,104603,39297,97650,117094,137571,55498
DELAWARE,2013,335707,59878,71811,86158,36522,77915,89888,105040,49014
FLORIDA,2013,7158980,46956,56738,68025,30211,66368,77438,90260,43516
GEORGIA,2013,3518097,49179,58755,73295,30307,67572,77878,93253,42949
HAWAII,2013,449771,67402,79963,89614,40598,84933,95757,106278,53800
IDAHO,2013,579797,46767,55905,62766,26853,60192,69270,76731,36631
ILLINOIS,2013,4772723,56797,70344,84237,33666,77660,91452,106964,48604
INDIANA,2013,2481793,48248,59911,70799,28292,62988,74058,85760,38260
IOWA,2013,1226547,51843,65802,75078,29511,66136,79574,89388,39009
KANSAS,2013,1110440,51332,65069,75187,29612,68051,81598,92779,39710
KENTUCKY,2013,1694996,43036,54279,65556,24130,58621,69402,80880,34520
LOUISIANA,2013,1707852,44874,56288,74301,25539,62773,73921,91118,38227
MAINE,2013,553823,48453,61107,70070,27527,63143,75527,85320,38866
MARYLAND,2013,2146240,73538,88738,107442,45696,96072,111740,131378,59835
MASSACHUSETTS,2013,2530147,66866,84900,102264,38862,90877,109134,128198,55785
MICHIGAN,2013,3823280,48411,60793,72941,28358,64753,77082,90034,38996
MINNESOTA,2013,2107232,59836,74683,85316,34624,77204,92087,103997,46575
MISSISSIPPI,2013,1088073,39031,48471,62833,21448,54132,63155,77990,32053
MISSOURI,2013,2360131,47380,59527,70665,27942,63756,75926,87859,38520
MONTANA,2013,405525,46230,59743,67514,27088,60639,73302,81963,36996
NEBRASKA,2013,725787,51672,65328,75243,30047,67023,80519,90997,39574
NEVADA,2013,999016,52800,61359,72959,35702,69629,78302,90445,49755
NEW HAMPSHIRE,2013,518245,64916,79886,89729,37039,82935,96947,108242,50868
NEW JERSEY,2013,3186418,71629,87347,105286,39789,97225,113394,132496,56748
NEW MEXICO,2013,761938,44927,54513,67931,28110,61682,71019,84426,41000
NEW YORK,2013,7234743,58003,70670,88029,36179,84432,97941,117730,56842
NORTH CAROLINA,2013,3715565,46334,56928,70197,28196,63707,74863,88728,39406
NORTH DAKOTA,2013,287270,53741,70767,79820,31330,70235,86449,95868,42235
OHIO,2013,4557655,48308,61371,73925,28128,64449,77195,90649,38806
OKLAHOMA,2013,1444081,45339,56464,67224,26653,61481,72367,84066,37465
OREGON,2013,1516456,50229,61609,71877,31120,66666,78028,89051,43554
PENNSYLVANIA,2013,4958427,52548,66646,78817,29507,71088,85586,98874,41982
RHODE ISLAND,2013,410058,56361,72717,88952,32838,75749,91452,108807,46425
SOUTH CAROLINA,2013,1780251,44779,55058,69006,26415,60601,70910,85106,37233
SOUTH DAKOTA,2013,323136,49495,63195,72910,28860,64133,77395,88138,37407
TENNESSEE,2013,2475195,44298,54779,66221,26320,61291,72143,84564,37398
TEXAS,2013,8886471,51900,61066,75302,32354,72474,82269,97042,46631
UTAH,2013,886770,58821,66646,73620,33410,73717,82055,89753,44885
VERMONT,2013,257004,54267,68111,77974,32016,69716,83752,94374,42870
