state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
ARKANSAS,2017,1147291,43813,54923,66356,25095,61330,72907,85038,36349
CALIFORNIA,2017,12888128,67169,76975,93800,43710,96104,106970,125039,66344
COLORADO,2017,2082531,65458,80654,92903,41191,88388,104091,117419,56716
CONNECTICUT,2017,1361755,73781,93800,112476,41775,105998,127991,150354,60033
DELAWARE,2017,352357,63036,76346,90580,38209,84146,97654,113394,53227
FLORIDA,2017,7510882,50883,61442,73832,32206,72993,85154,99173,47770
GEORGIA,2017,3663104,52977,64053,79797,32653,74763,86636,103364,46938
HAWAII,2017,455502,74923,87024,97967,42304,95569,107549,118976,59190
IDAHO,2017,609124,50985,62196,69414,29089,67338,78948,87396,39715
ILLINOIS,2017,4818452,61229,76533,91973,36233,85262,101360,118479,52753
INDIANA,2017,2537189,52182,65227,77574,30763,69197,82057,95182,41800
IOWA,2017,1251587,56570,72270,82472,32000,73510,88682,99780,43782
KANSAS,2017,1121943,55477,70711,81614,31524,74633,89979,101826,42745
KENTUCKY,2017,1724514,46535,59003,71165,26651,64436,76499,88828,38624
LOUISIANA,2017,1737645,46710,60064,78866,26818,66861,79831,98131,40431
MAINE,2017,554061,53024,67340,77431,30185,70210,83796,94123,43782
MARYLAND,2017,2181093,78916,95597,115030,48872,103845,120839,141719,64477
MASSACHUSETTS,2017,2585715,74167,94110,113415,42119,101858,121984,143200,62626
MICHIGAN,2017,3888646,52668,66653,80246,31333,72091,86137,100588,43847
MINNESOTA,2017,2153202,65699,82785,94511,37740,86796,104103,117251,51598
MISSISSIPPI,2017,1103514,42009,52689,68796,23155,58371,68673,84381,34356
MISSOURI,2017,2386203,51542,64776,76870,30628,70144,83724,96530,42729
MONTANA,2017,419975,50801,65843,74507,29676,68622,83860,93300,41259
NEBRASKA,2017,748405,56675,72191,83080,32822,74309,89487,101246,43711
NEVADA,2017,1052249,55434,65469,77564,36167,73862,84382,97493,51036
NEW HAMPSHIRE,2017,526710,71305,86949,98840,39721,91605,107500,119816,55238
NEW JERSEY,2017,3199111,76475,94337,113655,41692,105917,123936,144655,60767
NEW MEXICO,2017,770435,46718,57436,71988,28904,64625,75588,89980,42306
NEW YORK,2017,7302710,62765,77141,96006,38931,93443,109230,130924,61983
NORTH CAROLINA,2017,3874346,50320,62195,76241,30655,70523,83338,98209,43301
NORTH DAKOTA,2017,311525,61285,80091,89787,35907,81334,99878,111105,50416
OHIO,2017,4633145,52407,66885,81198,30986,71119,85559,100819,42939
OKLAHOMA,2017,1468971,49767,61541,73297,28922,67682,79941,92891,40903
OREGON,2017,1571631,56119,69031,80226,34410,75851,89078,101306,49274
PENNSYLVANIA,2017,5007442,56951,72692,85968,31984,78192,94204,108868,46485
RHODE ISLAND,2017,412028,61043,79043,96435,34424,82407,98954,117514,51236
SOUTH CAROLINA,2017,1871307,48781,60643,74965,28737,66759,78694,93826,41086
SOUTH DAKOTA,2017,339458,54126,69425,80031,32038,71085,85600,97530,42940
TENNESSEE,2017,2547194,48708,60217,72808,28909,68386,80742,94604,41608
TEXAS,2017,9430419,57051,67344,83009,35845,80879,91977,108340,51855
UTAH,2017,938365,65325,74287,81967,36984,83147,92425,100840,50646
VERMONT,2017,258535,57808,74068,84801,33960,75621,91891,103636,46545
VIRGINIA,2017,3105636,68766,83164,98850,41942,94229,109435,125982,59893
WASHINGTON,2017,2755697,66174,80233,92675,40950,88563,103318,116910,57323
WEST VIRGINIA,2017,737671,44061,55949,66001,24443,59634,70948,81204,35963
WISCONSIN,2017,2328754,56759,72542,83719,33457,74372,89382,101671,45257
WYOMING,2017,230237,60938,75602,84907,35095,76731,89174,98808,50596
ALABAMA,2018,1860269,48486,62030,76782,26388,67243,80678,95856,39105
ALASKA,2018,253462,76715,90284,104756,50267,96499,108301,122797,67164
ARIZONA,2018,2524300,56213,66988,79677,36108,77221,88911,102667,51290
ARKANSAS,2018,1152175,45726,57065,69308,26017,64272,76371,89308,37953
CALIFORNIA,2018,12965435,71228,81416,98712,46013,101493,113046,131797,69839
COLORADO,2018,2113387,68811,84540,97189,42994,92520,109258,123025,59151
CONNECTICUT,2018,1367374,76106,97310,116972,43213,109693,132796,156300,62336
DELAWARE,2018,357765,65627,79814,93644,39382,86962,101100,116828,54924
FLORIDA,2018,7621760,53267,64312,77161,33682,76652,89399,103938,50173
GEORGIA,2018,3709488,55679,67405,83784,34395,78574,91173,108774,49224
HAWAII,2018,456782,78084,90935,101951,43679,99765,112416,123975,61076
IDAHO,2018,618331,53089,64723,72337,30465,70620,82865,91887,41834
ILLINOIS,2018,4830038,63575,79747,95797,37598,88857,105865,123608,54841
INDIANA,2018,2553818,54325,68054,80771,31727,71912,85472,99169,43282
IOWA,2018,1256855,58580,74794,85265,33108,75951,91704,103190,45352
KANSAS,2018,1124549,57422,73222,84567,32437,77509,93587,106111,44653
KENTUCKY,2018,1728681,48392,61059,73808,27998,67110,79553,92564,40583
LOUISIANA,2018,1736021,47942,61785,81100,27387,68823,82523,101306,41550
MAINE,2018,556955,55425,70370,80674,31591,73210,87523,98111,45780
MARYLAND,2018,2192518,81868,99403,119293,50246,107482,125351,146637,66365
MASSACHUSETTS,2018,2601914,77378,98625,118379,43978,106627,128072,149926,65194
MICHIGAN,2018,3909509,54938,69691,83604,32341,75352,90116,105046,45891
MINNESOTA,2018,2167801,68411,86204,98622,39557,90600,109028,122705,53432
MISSISSIPPI,2018,1105576,43567,54933,71939,24171,60640,71577,87760,35947
MISSOURI,2018,2396271,53560,67612,80183,31596,73145,87430,100712,44498
MONTANA,2018,423240,52559,68139,76945,30987,70959,86881,96335,43096
NEBRASKA,2018,754063,59116,75123,86281,34072,77278,93333,105412,45191
NEVADA,2018,1075930,57598,68700,81108,37250,77319,88777,102349,52890
NEW HAMPSHIRE,2018,528078,74057,91245,103111,40954,95876,112822,125370,57837
NEW JERSEY,2018,3213362,79363,98047,117666,43034,110140,129025,150258,63080
NEW MEXICO,2018,775651,48059,59175,73379,29413,66565,78165,92985,43262
NEW YORK,2018,7316537,65323,80419,99787,40403,97424,114090,136373,64251
NORTH CAROLINA,2018,3918597,52413,65097,79729,31655,73753,87271,102741,45208
NORTH DAKOTA,2018,314903,63473,83272,93643,37577,84043,103731,115706,51729
OHIO,2018,4654075,54533,69837,84407,31989,74109,89168,105028,45022
OKLAHOMA,2018,1474620,51424,63574,75771,29954,70262,82950,96186,42443
OREGON,2018,1591835,59393,72823,84336,36307,80040,94186,106829,51716
PENNSYLVANIA,2018,5025132,59445,75477,89561,33403,81549,97993,113251,48752
RHODE ISLAND,2018,410885,63296,81822,99603,35959,85527,102894,121692,53346
SOUTH CAROLINA,2018,1894711,51015,63437,78260,29906,70093,82909,98637,42772
SOUTH DAKOTA,2018,341565,56499,72706,83059,33085,73768,89092,101280,44375
TENNESSEE,2018,2567061,50972,63096,76120,30223,71458,84434,98645,43652
TEXAS,2018,9553046,59570,70423,86102,37139,84221,96001,112823,53665
UTAH,2018,957619,68374,77732,85652,38643,87053,96935,105701,52796
VERMONT,2018,259589,60076,77193,87567,35479,78472,95100,107036,49026
VIRGINIA,2018,3128415,71564,86628,102551,43168,98000,114218,131273,61812
WASHINGTON,2018,2800423,70116,84182,97444,43327,93847,109100,123325,61081
WEST VIRGINIA,2018,734676,44921,57598,67860,25084,61225,73168,83590,36687
WISCONSIN,2018,2343129,59209,75313,86988,34971,77687,93565,106321,47155
WYOMING,2018,230630,62268,77480,86789,35713,79257,92743,102642,51485
ALABAMA,2019,1867893,50536,64430,79819,27335,69842,83896,99369,40857
ALASKA,2019,253346,77640,92588,107269,50535,98606,111717,126673,67359
ARIZONA,2019,2571268,58945,70184,83360,37744,80779,93002,107342,53575
ARKANSAS,2019,1158071,47597,59455,72054,26714,66557,79134,92232,39301
CALIFORNIA,2019,13044266,75235,85837,103485,48507,106916,119126,138522,73495
COLORADO,2019,2148994,72331,88931,101735,45537,96970,114593,128486,62145
CONNECTICUT,2019,1370746,78444,100418,120623,44873,113031,137002,161335,64068
DELAWARE,2019,363322,68287,83127,96827,40968,90092,105114,121134,56674
FLORIDA,2019,7736311,55660,67414,80660,35391,80286,93531,108611,52561
GEORGIA,2019,3758798,58700,70851,87653,36069,82406,95812,114241,51521
HAWAII,2019,459424,81275,94982,105935,45899,103780,117075,128953,64025
IDAHO,2019,630008,55785,67762,75919,31941,73810,86668,95631,43686
ILLINOIS,2019,4846134,65886,83279,99963,39188,92395,110401,128878,56939
INDIANA,2019,2570419,56303,71164,84069,32653,75025,89571,103601,45089
IOWA,2019,1265473,60523,77099,88113,34673,78411,94695,106659,46929
KANSAS,2019,1129227,59597,75976,87416,33850,80009,96737,109506,46355
KENTUCKY,2019,1734618,50589,63684,76922,29385,70144,83043,96565,42778
LOUISIANA,2019,1739497,49469,63572,83800,28045,71001,85218,104684,42943
MAINE,2019,559921,57918,73756,84101,32825,76227,91617,102422,47398
MARYLAND,2019,2205204,84805,103108,123271,51413,111417,130482,152192,68256
MASSACHUSETTS,2019,2617497,81215,103126,123694,46467,111498,133746,156038,68415
MICHIGAN,2019,3935041,57144,72600,86923,33711,78400,93955,109389,47776
MINNESOTA,2019,2185603,71306,89842,102568,41310,93925,113077,127117,55679
MISSISSIPPI,2019,1104394,45081,57008,74212,24795,62835,74380,90876,37437
MISSOURI,2019,2414521,55461,70398,83329,32626,76060,91107,104857,46289
MONTANA,2019,427871,54970,71079,80251,32103,74190,90757,100418,45003
NEBRASKA,2019,759176,61439,78212,89705,35499,80208,97347,109700,46805
NEVADA,2019,1098602,60365,71916,84821,39055,81496,93624,108259,55598
NEW HAMPSHIRE,2019,532037,76768,95244,106754,42697,99165,117422,130134,58933
NEW JERSEY,2019,3231874,82545,102260,121984,45065,114691,134704,156452,65473
NEW MEXICO,2019,780249,49754,61102,76160,30714,69077,81023,96845,45249
NEW YORK,2019,7343234,68486,84385,104012,41953,101945,119540,142555,67186
NORTH CAROLINA,2019,3965482,54602,68435,83332,32906,76940,91227,107219,47033
NORTH DAKOTA,2019,318322,64894,86249,96825,38642,85476,105819,117934,52462
OHIO,2019,4676358,56602,72439,87575,33281,76958,92726,109123,46828
OKLAHOMA,2019,1480061,52919,65544,78628,30968,72695,85847,99667,44137
OREGON,2019,1611982,62818,76946,88848,38669,84258,98950,111836,54883
PENNSYLVANIA,2019,5053106,61744,78521,92955,34819,84849,102124,118038,50713
RHODE ISLAND,2019,410489,67167,86258,104019,37880,89093,108155,127261,54143
SOUTH CAROLINA,2019,1921862,53199,66357,81518,31063,73520,87127,103302,44840
SOUTH DAKOTA,2019,344397,58275,75168,86263,34497,76240,92017,104553,46026
TENNESSEE,2019,2597292,53320,66242,79694,31561,74750,88501,103145,45524
TEXAS,2019,9691647,61874,73349,89626,38841,87260,99605,116886,55409
UTAH,2019,977313,71621,81525,89947,40973,91292,101666,110833,55532
VERMONT,2019,260029,61973,80998,91926,36439,81233,99437,111622,50324
VIRGINIA,2019,3151045,74222,90141,106477,44781,101746,118940,136615,63832
WASHINGTON,2019,2848396,73775,88660,102341,45823,98983,114940,129918,64637
WEST VIRGINIA,2019,732585,46711,59607,70774,25955,63680,75996,87040,38392
WISCONSIN,2019,2358156,61747,78679,90612,36528,80674,97431,110447,49088
WYOMING,2019,230101,64049,79782,89000,36637,81880,95869,105836,52740
