state,year,population_16_plus,in_labor_force_16_plus,employed_16_plus,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_16_19,unemployment_rate_age_20_24,unemployment_rate_age_25_44,unemployment_rate_age_45_54,unemployment_rate_age_55_64,unemployment_rate_age_65_74,unemployment_rate_age_75_plus,unemployment_rate_white,unemployment_rate_black,unemployment_rate_native_american,unemployment_rate_asian,unemployment_rate_pacific_islander,unemployment_rate_other_race,unemployment_rate_two_or_more_races,unemployment_rate_hispanic,unemployment_rate_white_non_hispanic
NEW HAMPSHIRE,2012,1068648.0,69.7,65.0,6.6,6.2,5.6,20.2,11.1,5.4,5.2,5.3,5.0,4.9,6.4,9.0,5.0,8.7,19.5,13.2,9.8,12.8,6.3
NEW JERSEY,2012,6985329.0,66.9,60.4,9.5,8.9,8.8,26.0,16.0,8.7,7.5,7.7,9.0,8.3,8.5,15.7,14.8,6.5,6.7,11.5,13.7,11.0,8.2
NEW MEXICO,2012,1597923.0,61.3,55.2,9.1,8.9,7.6,27.3,15.5,8.6,6.3,5.9,6.1,6.1,8.2,12.6,14.9,7.2,1.4,10.1,11.5,10.6,6.5
NEW YORK,2012,15615122.0,63.8,58.1,8.7,8.6,7.7,26.4,16.1,7.9,6.5,6.4,6.7,6.2,7.2,13.9,13.7,7.7,8.5,11.9,13.4,11.3,6.9
NORTH CAROLINA,2012,7523670.0,64.2,56.4,10.5,10.0,9.5,30.0,18.1,9.6,8.1,7.5,6.7,5.1,8.7,16.4,13.3,6.8,11.3,10.9,16.4,11.4,8.5
NORTH DAKOTA,2012,543270.0,70.5,67.1,3.4,3.1,2.8,11.2,6.4,2.7,2.2,1.8,2.4,2.5,2.9,8.4,10.0,2.8,2.1,9.7,8.7,8.0,2.9
OHIO,2012,9138488.0,64.3,58.0,9.7,9.8,7.9,27.9,15.8,9.1,7.2,6.7,5.4,4.1,8.4,19.0,15.6,5.4,11.1,12.5,18.8,12.7,8.3
OKLAHOMA,2012,2924464.0,62.7,57.8,6.8,6.2,6.1,21.0,11.0,6.4,4.9,3.9,3.6,2.5,5.8,11.9,10.0,4.9,7.5,7.4,10.5,7.3,5.7
OREGON,2012,3072774.0,63.7,56.7,10.8,11.1,8.9,29.1,16.4,10.0,8.7,8.3,8.2,5.9,10.5,18.7,15.7,7.5,17.4,12.6,14.7,12.0,10.4
PENNSYLVANIA,2012,10265643.0,63.2,57.8,8.5,8.4,7.1,24.2,14.9,7.8,6.2,5.8,6.1,5.7,7.3,16.9,12.5,7.0,20.0,16.9,15.3,15.1,7.1
RHODE ISLAND,2012,857434.0,66.3,59.6,9.5,9.6,7.8,25.6,14.3,8.3,7.6,7.6,7.2,6.3,8.4,13.8,25.6,9.3,29.5,18.5,17.7,17.4,8.1
SOUTH CAROLINA,2012,3675075.0,62.1,54.3,11.1,10.5,10.2,30.3,18.6,10.4,8.6,7.1,7.5,5.8,8.7,17.2,15.5,6.7,8.5,10.3,16.5,11.5,8.6
SOUTH DAKOTA,2012,636670.0,69.4,65.4,4.9,5.0,3.9,15.2,9.2,4.6,3.3,2.9,1.9,1.3,3.2,13.9,25.5,12.6,0.9,8.4,11.6,8.4,3.2
TENNESSEE,2012,5030090.0,62.4,56.0,9.8,9.3,8.9,27.0,17.0,9.1,7.4,6.3,6.2,6.0,8.6,15.8,13.0,5.6,8.5,8.5,13.5,9.0,8.6
TEXAS,2012,19110058.0,65.4,59.9,7.7,7.0,7.2,24.5,13.2,6.8,5.5,5.5,5.2,4.5,6.9,12.8,10.0,6.1,11.1,9.0,10.5,8.5,6.1
UTAH,2012,1984562.0,68.9,63.8,7.1,6.5,5.9,19.7,9.6,6.1,5.1,4.9,4.3,6.0,6.7,12.9,13.6,6.3,13.4,11.1,13.0,10.5,6.3
VERMONT,2012,513968.0,68.3,63.7,6.5,6.9,5.2,17.6,13.6,6.0,4.6,4.4,4.3,3.5,6.3,17.9,11.2,7.6,24.3,3.6,13.9,8.3,6.3
VIRGINIA,2012,6377782.0,67.1,60.6,6.9,6.5,6.0,24.9,13.4,6.1,4.9,4.5,3.5,4.5,5.6,11.6,9.0,5.3,11.4,8.2,10.3,7.9,5.5
WASHINGTON,2012,5345975.0,65.7,58.9,8.9,8.7,7.7,27.1,15.5,8.0,6.6,6.5,6.7,6.8,8.4,15.0,16.3,6.7,16.4,12.0,13.0,11.4,8.2
WEST VIRGINIA,2012,1508549.0,54.9,50.4,7.9,8.3,5.8,28.5,14.0,7.7,5.4,4.3,3.3,4.4,7.7,11.9,19.1,7.1,9.6,11.2,14.8,6.9,7.7
WISCONSIN,2012,4512525.0,68.5,63.3,7.5,7.8,5.9,18.6,11.8,6.9,5.8,5.7,5.3,5.0,6.6,19.8,15.1,7.5,12.7,10.5,15.4,11.0,6.4
WYOMING,2012,442182.0,69.5,65.3,5.1,4.7,4.4,16.5,8.9,4.7,3.6,2.8,4.1,3.2,4.8,16.6,16.4,3.5,17.1,4.3,8.2,8.0,4.5
ALABAMA,2013,3806434.0,59.4,52.6,10.8,9.9,10.2,32.9,19.5,10.2,7.7,6.2,5.8,5.1,8.6,16.9,15.3,5.2,1.4,10.3,17.6,10.2,8.6
ALASKA,2013,553214.0,71.0,62.1,8.8,9.5,6.6,23.0,14.7,8.2,6.7,6.0,5.6,2.0,6.8,10.7,20.8,5.0,9.6,7.7,12.3,7.1,6.8
ARIZONA,2013,5039711.0,60.6,54.0,10.4,10.1,9.0,28.9,16.1,9.1,8.5,7.9,8.2,8.6,9.4,15.0,22.3,7.0,12.9,14.0,15.1,12.7,8.5
ARKANSAS,2013,2301443.0,59.7,54.1,8.9,8.5,7.8,27.4,16.1,8.4,6.4,4.5,4.9,3.7,7.5,16.5,10.8,5.5,16.5,8.3,11.4,7.8,7.5
CALIFORNIA,2013,29516595.0,64.2,56.4,11.5,10.9,10.6,35.2,18.2,10.4,9.2,9.0,8.5,7.9,10.9,18.1,17.8,8.7,16.3,13.3,15.2,13.4,9.8
COLORADO,2013,4023722.0,69.0,62.4,8.5,8.0,7.2,27.4,13.5,7.1,6.7,6.7,7.1,5.0,7.7,15.7,17.4,6.3,11.4,12.8,13.6,11.7,7.2
CONNECTICUT,2013,2879150.0,68.0,61.1,9.8,9.6,8.5,25.9,16.2,9.2,7.5,7.3,8.3,6.9,8.4,17.3,13.6,7.6,14.6,16.5,14.9,15.0,7.9
DELAWARE,2013,726364.0,64.3,58.1,8.9,9.1,7.6,24.7,15.7,8.2,6.7,6.5,6.9,6.8,7.6,12.9,20.1,5.6,1.4,12.5,15.9,11.1,7.5
FLORIDA,2013,15563534.0,60.1,52.7,11.8,11.6,10.5,33.5,18.1,10.9,9.5,9.6,9.7,9.4,10.5,18.1,16.2,8.1,13.6,12.8,14.6,12.0,10.1
GEORGIA,2013,7598174.0,63.9,56.0,11.4,10.5,10.5,34.9,19.7,10.3,8.4,8.1,7.3,6.0,8.8,16.9,16.1,7.6,9.1,11.0,16.0,10.8,8.7
HAWAII,2013,1104534.0,66.0,57.9,7.1,7.5,5.7,25.6,12.3,6.9,5.2,4.7,3.7,4.6,6.8,11.5,8.4,4.4,12.7,8.0,10.0,11.2,6.6
IDAHO,2013,1201999.0,63.8,57.9,8.8,8.5,7.2,26.0,13.7,7.4,6.9,6.7,7.1,5.4,8.5,19.5,18.3,8.2,11.0,9.8,14.9,11.7,8.2
ILLINOIS,2013,10124119.0,66.4,59.2,10.5,10.3,9.1,30.4,16.5,9.6,8.4,7.8,6.1,5.5,8.6,21.3,15.7,7.5,6.9,12.5,14.3,12.3,8.2
INDIANA,2013,5099339.0,64.4,58.1,9.6,9.5,8.5,25.5,15.4,9.3,7.4,6.4,5.7,4.9,8.7,18.8,14.2,6.2,11.3,11.5,14.3,12.2,8.5
IOWA,2013,2420102.0,68.2,64.2,5.8,5.7,4.6,17.3,9.7,5.1,4.5,3.4,3.4,3.3,5.3,15.7,12.1,5.4,10.0,9.5,13.1,9.5,5.2
KANSAS,2013,2222215.0,67.9,62.4,7.0,6.6,6.2,20.1,11.1,6.6,5.2,4.7,3.9,2.8,6.1,16.3,12.5,7.4,18.7,10.4,14.1,9.4,5.9
KENTUCKY,2013,3454107.0,60.1,53.8,9.8,9.7,8.5,26.6,16.6,9.6,7.0,5.9,4.9,4.6,9.2,16.5,18.1,7.1,7.2,8.8,17.0,11.5,9.1
LOUISIANA,2013,3577960.0,61.6,55.8,8.8,8.4,7.9,27.8,16.2,8.1,5.9,5.4,4.7,3.7,6.4,14.2,9.6,5.4,5.1,7.1,11.8,8.4,6.3
MAINE,2013,1092849.0,64.3,59.2,7.7,8.2,6.1,21.2,13.3,7.6,5.7,5.1,5.4,3.0,7.5,17.5,21.1,3.6,3.0,8.4,15.0,14.6,7.4
MARYLAND,2013,4645779.0,69.2,63.0,8.2,8.0,7.0,26.7,15.3,7.5,5.8,5.7,5.5,4.7,6.3,12.4,11.2,5.0,1.7,8.7,10.8,8.5,6.2
MASSACHUSETTS,2013,5371252.0,67.7,61.6,8.9,9.1,7.3,23.9,13.6,8.0,7.2,7.0,7.2,6.2,8.1,15.5,18.7,8.1,9.0,14.4,12.1,14.2,7.8
MICHIGAN,2013,7865350.0,61.8,53.9,12.7,13.0,10.6,31.7,18.8,12.2,9.9,9.1,8.8,7.4,10.9,24.4,17.3,7.6,14.5,16.4,19.5,15.9,10.7
MINNESOTA,2013,4212737.0,70.3,65.2,7.1,7.3,5.6,20.2,11.2,6.3,5.6,5.5,4.5,4.6,6.3,17.5,18.8,8.5,15.0,10.9,14.4,10.4,6.1
MISSISSIPPI,2013,2312959.0,58.6,51.6,11.1,10.4,10.1,36.5,22.6,10.4,6.8,6.1,4.9,4.0,7.7,17.2,18.7,5.1,8.8,9.5,14.6,9.4,7.7
MISSOURI,2013,4755870.0,64.3,58.3,8.8,8.8,7.5,24.5,14.0,8.1,6.9,6.1,5.1,5.3,7.6,18.0,12.6,4.7,12.7,11.1,13.5,10.3,7.5
MONTANA,2013,801199.0,64.7,59.5,7.3,7.8,5.5,23.1,12.3,6.4,5.9,5.4,3.3,4.7,6.4,5.0,23.0,7.7,13.3,7.7,12.3,11.1,6.3
NEBRASKA,2013,1431428.0,70.6,66.3,5.7,5.4,4.9,18.0,9.8,5.2,4.1,3.4,3.3,1.6,5.0,15.6,20.2,5.8,5.8,9.8,11.4,10.3,4.7
NEVADA,2013,2143541.0,66.0,57.4,12.5,12.4,10.8,32.4,18.2,11.0,11.0,10.5,11.2,15.3,11.9,18.3,20.3,9.3,15.4,12.7,16.1,13.6,11.3
NEW HAMPSHIRE,2013,1074477.0,69.2,64.3,7.0,6.7,5.8,21.1,12.0,5.8,5.5,5.3,5.6,5.4,6.8,10.1,6.4,9.6,7.3,12.4,11.5,13.2,6.7
NEW JERSEY,2013,7028795.0,66.6,59.7,10.1,9.5,9.5,26.8,16.7,9.4,8.1,8.2,9.5,8.8,9.0,16.6,16.0,6.9,9.4,11.9,14.4,11.6,8.7
NEW MEXICO,2013,1612730.0,60.7,54.4,9.7,9.5,8.1,30.8,16.5,9.0,6.7,6.2,6.3,6.3,8.8,12.5,16.2,7.4,2.4,10.8,12.1,11.3,7.0
NEW YORK,2013,15717283.0,63.7,57.7,9.2,9.1,8.2,27.8,16.6,8.4,7.0,6.8,7.1,6.7,7.6,14.6,15.0,8.1,7.8,12.6,13.3,11.9,7.3
NORTH CAROLINA,2013,7622230.0,63.6,55.6,11.1,10.7,10.0,31.9,18.9,10.1,8.7,7.9,7.1,5.1,9.2,17.2,14.5,7.2,13.0,11.6,16.7,11.7,9.1
NORTH DAKOTA,2013,553026.0,70.5,67.2,3.3,3.1,2.7,10.8,5.8,2.9,2.2,1.7,2.4,2.5,2.8,7.9,10.3,2.4,2.2,8.8,9.0,7.6,2.8
OHIO,2013,9170484.0,63.9,57.4,10.0,10.1,8.2,28.6,16.0,9.4,7.6,6.8,5.6,4.0,8.6,19.4,16.3,5.6,13.3,12.4,18.9,12.6,8.6
OKLAHOMA,2013,2950783.0,62.2,57.2,7.0,6.4,6.6,21.1,11.8,6.7,5.1,4.0,3.7,2.5,6.0,12.1,10.3,5.0,8.5,7.6,11.1,7.5,6.0
OREGON,2013,3106026.0,63.1,55.9,11.3,11.7,9.4,30.4,17.5,10.5,9.2,8.6,8.3,5.8,10.9,18.6,18.0,7.7,16.2,13.5,16.1,12.8,10.9
PENNSYLVANIA,2013,10310404.0,63.1,57.4,9.0,9.0,7.5,25.2,15.6,8.4,6.5,6.2,6.3,5.9,7.7,17.6,16.9,7.5,18.0,17.9,15.7,15.9,7.5
RHODE ISLAND,2013,859385.0,66.2,59.3,9.9,9.7,8.6,25.6,15.0,8.9,7.7,7.9,7.5,7.7,8.8,14.4,28.0,9.0,19.9,18.7,16.9,17.4,8.5
SOUTH CAROLINA,2013,3720700.0,61.7,53.8,11.4,11.0,10.4,32.2,19.2,10.7,8.9,7.5,7.6,5.7,9.0,17.7,19.1,7.7,11.4,9.0,15.8,10.8,8.9
SOUTH DAKOTA,2013,643377.0,69.0,65.1,5.0,5.1,4.0,15.2,9.1,4.7,3.5,3.0,2.0,1.5,3.3,11.5,25.8,9.9,0.0,10.1,12.1,8.9,3.3
TENNESSEE,2013,5078433.0,61.8,55.3,10.1,9.7,9.2,28.2,17.4,9.5,7.6,6.7,6.2,6.0,8.9,16.6,13.8,5.3,6.6,8.4,14.4,9.1,8.9
TEXAS,2013,19468136.0,65.2,59.4,8.1,7.3,7.5,26.0,13.7,7.2,5.8,5.8,5.4,4.7,7.2,13.3,10.8,6.3,12.6,9.4,11.0,8.9,6.4
UTAH,2013,2021139.0,68.4,63.1,7.4,6.7,6.2,21.6,9.9,6.3,5.4,5.0,4.2,5.0,6.9,13.8,14.1,6.5,13.9,10.3,12.9,10.6,6.6
VERMONT,2013,515484.0,67.6,62.9,6.8,7.2,5.4,17.7,14.0,6.2,4.8,4.8,3.4,4.3,6.6,17.6,7.9,8.1,21.7,4.3,13.4,9.4,6.5
VIRGINIA,2013,6453616.0,66.7,60.2,7.2,6.9,6.4,25.5,14.4,6.5,5.2,4.6,3.7,4.4,5.9,12.1,8.5,5.4,13.2,8.7,10.6,7.9,5.8
WASHINGTON,2013,5416136.0,65.1,58.2,9.4,9.3,8.1,28.7,16.4,8.5,7.2,6.7,6.8,6.3,8.9,14.8,16.9,7.2,16.6,12.9,13.5,12.0,8.7
WEST VIRGINIA,2013,1512388.0,54.6,50.0,8.4,8.9,6.4,28.7,14.3,8.4,6.0,4.7,3.7,3.2,8.2,12.9,22.7,8.0,9.3,13.0,14.9,8.6,8.2
WISCONSIN,2013,4537877.0,67.9,62.6,7.8,8.2,6.2,18.5,12.2,7.3,6.1,5.9,5.5,4.9,6.8,20.8,15.2,7.5,9.8,11.4,14.9,11.5,6.7
WYOMING,2013,448295.0,69.0,64.7,5.5,5.3,4.4,17.7,9.6,5.1,3.8,3.0,4.1,2.9,5.0,14.2,18.4,6.0,13.5,4.6,10.4,8.4,4.8
ALABAMA,2014,3828799.0,58.8,52.5,10.2,9.4,9.8,31.4,18.7,9.8,7.2,5.6,5.3,4.5,8.1,16.0,15.6,5.7,2.1,8.1,16.4,9.1,8.1
ALASKA,2014,560680.0,70.8,62.1,8.4,8.9,6.8,22.3,13.9,7.7,6.7,6.1,4.7,3.3,6.3,12.2,21.1,4.2,13.1,7.2,12.0,6.9,6.3
ARIZONA,2014,5121781.0,60.1,53.8,9.9,9.5,8.8,28.5,15.6,8.7,7.9,7.7,7.6,6.6,8.9,14.6,21.9,6.3,14.3,13.3,14.3,11.8,8.2
ARKANSAS,2014,2315782.0,59.2,54.1,8.4,8.1,7.4,27.2,15.2,8.2,5.8,4.2,4.3,3.7,7.1,15.6,10.1,5.9,16.8,7.2,11.6,7.1,7.1
CALIFORNIA,2014,29934838.0,63.8,56.4,11.0,10.3,10.2,34.7,17.5,9.9,8.7,8.6,8.0,7.3,10.4,17.8,16.9,8.2,15.6,12.8,14.6,12.7,9.3
COLORADO,2014,4094922.0,68.7,62.5,7.9,7.4,6.9,26.0,13.1,6.5,6.3,6.3,6.6,5.5,7.2,14.6,15.4,6.4,12.6,11.8,12.7,10.7,6.7
CONNECTICUT,2014,2895925.0,67.8,61.0,9.6,9.4,8.4,25.5,15.9,9.0,7.4,7.1,7.5,7.1,8.2,17.2,14.2,7.5,11.0,15.3,15.4,14.2,7.7
DELAWARE,2014,734886.0,63.8,58.0,8.5,8.7,7.4,24.0,15.3,7.9,6.6,6.2,5.7,5.8,7.4,12.0,23.2,6.1,2.3,11.4,14.2,9.7,7.3
FLORIDA,2014,15817611.0,59.5,52.7,10.9,10.7,9.9,31.7,17.2,10.2,8.8,8.8,8.6,8.9,9.7,17.2,15.8,7.3,14.3,12.0,13.7,11.0,9.3
GEORGIA,2014,7693577.0,63.3,55.9,10.8,9.9,10.1,33.7,19.3,9.7,7.9,7.5,6.7,5.2,8.3,16.2,14.5,6.6,9.2,9.6,15.9,9.6,8.2
HAWAII,2014,1118419.0,65.4,57.7,6.7,6.9,5.5,25.1,11.3,6.6,4.7,4.5,3.5,3.8,6.3,11.3,10.6,4.2,12.2,8.3,9.3,10.0,6.1
IDAHO,2014,1216172.0,63.2,57.8,8.1,7.5,6.9,24.9,12.5,6.8,6.0,6.5,7.0,4.4,7.7,15.5,18.9,7.8,10.2,10.1,15.5,10.4,7.5
ILLINOIS,2014,10170489.0,66.1,59.3,10.0,9.7,8.8,30.1,16.0,9.1,8.0,7.3,6.0,5.1,8.1,21.2,13.7,7.0,8.3,11.7,14.4,11.5,7.7
INDIANA,2014,5131317.0,64.1,58.4,8.8,8.5,7.9,24.5,14.5,8.5,6.6,5.8,5.2,4.8,7.9,18.0,15.1,6.1,11.0,10.5,13.5,11.0,7.8
IOWA,2014,2434242.0,67.9,64.2,5.4,5.3,4.4,16.5,9.5,4.8,4.0,3.3,3.2,3.0,5.0,14.8,12.2,5.0,7.7,9.3,12.5,9.0,4.9
KANSAS,2014,2236421.0,67.4,62.2,6.6,6.2,5.8,19.8,10.4,6.1,4.9,4.4,3.8,2.7,5.7,14.9,13.6,7.7,11.1,9.3,13.4,8.9,5.5
KENTUCKY,2014,3476701.0,59.8,53.8,9.3,9.2,8.2,25.8,15.7,9.4,6.4,5.4,4.6,4.8,8.7,15.6,17.0,7.1,8.7,8.5,15.4,11.1,8.7
LOUISIANA,2014,3610029.0,61.1,55.5,8.7,8.1,8.0,28.3,15.9,8.2,5.7,5.2,4.4,4.0,6.3,14.0,9.4,5.8,7.1,6.7,11.5,8.4,6.2
MAINE,2014,1095219.0,63.9,59.0,7.4,7.7,6.1,20.5,12.9,7.5,5.7,4.8,4.9,2.9,7.2,16.8,18.1,4.2,3.5,9.4,15.9,11.6,7.2
MARYLAND,2014,4695768.0,68.9,62.8,8.0,7.8,7.1,25.6,15.1,7.4,5.8,5.6,5.3,5.3,6.1,12.4,10.7,5.2,4.1,8.0,10.6,7.7,6.0
MASSACHUSETTS,2014,5427407.0,67.6,61.8,8.4,8.5,7.1,23.1,12.9,7.6,6.9,6.6,6.5,5.8,7.6,14.6,18.0,7.8,13.1,14.5,11.5,14.0,7.3
MICHIGAN,2014,7893971.0,61.5,54.4,11.4,11.5,9.7,29.9,17.4,11.0,8.7,8.0,7.7,6.5,9.6,22.9,16.6,6.9,12.8,14.2,18.5,14.2,9.5
MINNESOTA,2014,4247699.0,70.1,65.5,6.5,6.5,5.2,18.7,10.2,5.8,5.0,4.9,4.1,3.5,5.6,16.4,17.4,7.2,7.9,11.0,13.2,10.1,5.5
MISSISSIPPI,2014,2323223.0,58.4,51.6,10.9,10.1,10.2,36.4,22.2,10.4,6.7,5.7,4.6,5.0,7.6,16.8,20.1,5.8,11.0,9.0,13.0,10.1,7.6
MISSOURI,2014,4781853.0,63.9,58.1,8.4,8.4,7.2,23.3,13.5,7.8,6.5,5.8,4.8,4.9,7.2,17.2,13.1,4.5,12.2,10.7,12.9,9.1,7.2
MONTANA,2014,807917.0,64.3,59.6,6.8,7.3,5.3,20.7,12.0,5.9,5.4,5.2,3.1,4.7,6.0,7.3,20.8,4.4,14.5,9.0,10.6,10.2,5.9
NEBRASKA,2014,1442692.0,70.5,66.4,5.4,5.0,4.6,18.1,9.5,4.8,3.9,3.1,2.9,1.8,4.7,14.5,21.0,5.0,8.0,8.3,10.5,9.8,4.4
NEVADA,2014,2175721.0,65.1,57.0,11.8,11.7,10.3,31.6,17.2,10.4,10.3,9.9,11.1,14.8,11.2,18.2,20.0,9.0,16.4,11.6,15.0,12.5,10.7
NEW HAMPSHIRE,2014,1080795.0,68.7,64.1,6.5,6.2,5.3,20.8,10.9,5.5,5.0,4.8,5.1,4.3,6.3,8.4,9.3,7.5,0.0,9.3,11.9,12.1,6.2
NEW JERSEY,2014,7080181.0,66.3,59.8,9.7,9.1,9.1,26.3,16.2,9.0,7.7,7.8,8.7,7.6,8.5,16.3,15.5,6.6,6.9,11.3,13.7,10.9,8.2
NEW MEXICO,2014,1625155.0,60.2,53.9,9.6,9.2,8.4,30.3,15.7,9.1,7.0,5.8,6.5,5.5,8.5,12.0,17.5,6.6,3.2,11.3,11.1,11.0,6.8
NEW YORK,2014,15832743.0,63.5,57.7,8.9,8.7,8.0,27.4,16.0,8.2,6.7,6.6,6.7,6.4,7.3,14.4,13.9,7.6,8.1,12.0,12.4,11.3,7.0
NORTH CAROLINA,2014,7717630.0,63.2,55.6,10.5,9.9,9.7,32.1,18.3,9.6,8.1,7.4,6.5,5.3,8.7,16.8,13.6,7.0,12.5,10.4,15.8,10.6,8.6
NORTH DAKOTA,2014,563755.0,70.5,67.4,3.1,2.9,2.5,10.8,5.3,2.7,2.1,1.6,2.0,2.5,2.7,7.8,9.6,2.9,6.8,5.1,8.8,6.5,2.7
OHIO,2014,9197668.0,63.6,57.7,9.2,9.1,7.7,27.5,14.9,8.6,6.9,6.2,5.1,4.1,7.8,18.7,15.4,5.3,11.0,11.6,17.3,11.6,7.8
OKLAHOMA,2014,2977835.0,61.9,57.1,6.8,6.2,6.4,21.1,11.6,6.5,5.0,3.8,3.7,3.0,5.9,11.9,10.0,4.8,8.9,7.0,10.6,7.1,5.8
OREGON,2014,3139152.0,62.5,55.8,10.5,10.7,8.9,29.7,16.2,9.8,8.7,7.7,7.2,5.7,10.2,18.1,17.4,7.5,14.4,11.6,15.4,11.8,10.1
PENNSYLVANIA,2014,10351296.0,62.9,57.4,8.6,8.5,7.3,24.7,15.2,8.1,6.2,5.9,6.0,5.2,7.3,17.7,17.3,7.0,18.4,16.6,15.7,15.2,7.1
RHODE ISLAND,2014,862851.0,65.9,59.3,9.5,9.1,8.5,25.0,14.1,9.0,7.4,6.9,6.4,9.6,8.5,13.4,16.5,8.5,25.6,18.0,16.1,16.3,8.2
SOUTH CAROLINA,2014,3768421.0,61.2,53.9,10.6,10.1,9.8,31.1,18.2,9.8,8.4,6.9,6.8,5.5,8.3,16.7,18.5,7.5,9.1,7.6,14.5,9.1,8.3
SOUTH DAKOTA,2014,651429.0,69.1,65.4,4.8,4.7,3.9,14.7,8.8,4.5,3.3,2.5,1.9,2.1,3.1,10.5,25.1,7.8,0.0,7.2,12.3,8.1,3.1
TENNESSEE,2014,5125250.0,61.4,55.3,9.5,8.9,8.8,27.4,16.6,8.8,7.1,6.2,5.6,5.8,8.3,15.6,13.1,4.8,7.9,6.8,13.9,7.9,8.3
TEXAS,2014,19858082.0,64.9,59.5,7.7,6.8,7.3,25.2,13.2,6.8,5.5,5.4,5.0,4.4,6.8,12.8,9.7,5.7,11.7,8.8,10.9,8.3,6.0
UTAH,2014,2057591.0,68.0,63.2,6.9,6.1,6.0,20.4,9.7,5.8,5.0,4.6,3.9,2.9,6.5,12.8,15.2,5.4,11.9,9.0,12.4,9.7,6.2
VERMONT,2014,517411.0,67.2,62.9,6.2,6.5,5.4,16.3,12.6,5.9,4.4,4.4,2.8,4.0,6.1,13.1,8.5,6.7,8.9,4.1,13.6,8.4,6.0
VIRGINIA,2014,6531424.0,66.4,60.3,6.9,6.6,6.2,24.2,13.9,6.2,4.9,4.5,3.6,4.0,5.7,11.7,8.7,5.3,9.1,7.5,10.1,7.1,5.6
WASHINGTON,2014,5488038.0,64.7,58.2,8.8,8.6,7.7,27.6,15.4,8.0,6.7,6.3,6.1,5.5,8.3,14.0,15.7,7.0,15.0,12.2,13.1,11.1,8.1
WEST VIRGINIA,2014,1513749.0,54.3,49.8,8.2,8.7,6.4,26.7,13.6,8.3,5.8,4.9,3.8,3.4,8.0,11.9,18.6,8.2,11.7,14.2,13.3,9.4,7.9
WISCONSIN,2014,4561244.0,67.4,62.5,7.2,7.5,5.9,17.7,11.5,6.7,5.6,5.4,4.9,4.3,6.3,19.5,14.4,6.6,8.7,10.2,14.0,10.3,6.2
WYOMING,2014,453096.0,68.4,64.3,5.2,5.2,4.3,15.3,9.3,5.1,3.6,3.0,2.8,3.9,4.7,15.4,18.0,5.3,1.6,3.8,11.1,7.0,4.6
ALABAMA,2015,3846845.0,58.3,52.6,9.3,7.4,8.7,29.0,17.3,11.7,9.8,7.3,6.3,5.1,4.8,4.1,7.4,14.5,14.4,4.5,15.3,7.8,15.3
ALASKA,2015,565212.0,70.6,62.1,8.2,6.1,7.7,21.3,13.2,9.0,6.4,6.9,7.0,6.1,6.1,2.2,6.0,11.3,20.3,5.1,12.6,5.5,12.0
ARIZONA,2015,5207123.0,59.7,54.0,8.9,7.3,8.2,26.6,14.3,9.6,7.9,6.8,6.8,7.0,6.6,5.1,7.9,13.2,20.3,5.8,12.4,11.7,12.9
ARKANSAS,2015,2328384.0,58.7,53.9,7.7,6.5,7.2,24.7,13.8,9.1,8.2,6.5,5.3,3.8,3.5,3.3,6.5,14.6,8.8,5.4,8.8,6.6,10.3
CALIFORNIA,2015,30312429.0,63.6,56.9,9.9,8.3,9.2,32.5,16.3,10.8,8.8,7.9,7.7,7.7,6.9,6.4,9.3,16.6,15.0,7.4,14.1,11.5,13.2
COLORADO,2015,4168824.0,68.4,63.0,6.9,6.0,6.3,23.3,11.6,6.9,6.2,4.9,5.4,5.5,5.6,4.6,6.4,12.8,13.0,5.3,9.3,10.0,11.1
CONNECTICUT,2015,2906229.0,67.5,61.3,8.8,7.1,8.2,24.3,14.4,10.0,9.4,7.2,6.9,6.5,6.5,5.8,7.5,16.2,15.0,7.0,9.6,13.8,14.5
DELAWARE,2015,744949.0,63.5,58.2,7.7,6.8,7.2,22.7,13.2,9.3,7.6,5.9,6.0,5.1,4.9,5.2,6.8,10.3,14.5,5.4,8.9,10.5,12.4
FLORIDA,2015,16077778.0,59.2,53.1,9.7,8.1,9.1,29.3,15.8,10.9,9.4,7.8,7.7,7.8,7.2,7.4,8.4,15.6,15.5,6.3,16.5,10.8,12.3
GEORGIA,2015,7792052.0,63.0,56.3,9.7,7.3,8.9,30.7,17.8,11.0,9.3,7.4,7.0,6.6,6.0,4.5,7.3,14.7,11.8,5.7,6.0,7.7,14.3
HAWAII,2015,1130491.0,65.2,57.8,6.1,5.8,5.7,22.8,10.7,7.3,6.2,5.1,4.2,4.2,3.3,3.3,5.9,10.3,7.7,3.9,11.0,8.2,7.9
IDAHO,2015,1232564.0,62.8,58.1,7.2,6.6,6.3,24.0,11.6,7.7,5.8,4.9,5.3,4.8,6.0,3.9,6.8,15.6,17.7,6.4,6.0,8.3,14.6
ILLINOIS,2015,10201787.0,65.8,59.7,9.1,6.8,8.4,28.6,15.1,9.8,8.3,7.5,7.0,6.8,5.3,4.8,7.2,20.0,12.7,6.4,10.1,10.5,13.2
INDIANA,2015,5160786.0,64.0,58.9,7.8,6.8,7.3,22.2,13.3,9.2,7.7,6.7,5.7,4.8,4.4,4.4,6.9,16.6,14.5,5.6,10.3,9.0,12.8
