state,year,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,violent_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
NEW MEXICO,2011,2082224.0,11817,156.0,857.0,1722.0,9082.0,73534,21423.0,46703.0,5408.0,567.5181920869225,7.491989334480825,41.15791576698761,82.70003611523063,436.16825087022335,3531.5124597545705,1028.8518430293761,2242.9383197965253,259.7222969286686
NEW YORK,2011,19465197.0,77490,774.0,2752.0,28396.0,45568.0,372255,65397.0,287547.0,19311.0,398.0951233116213,3.97632759637624,14.13805367600441,145.88087652028386,234.09986551895676,1912.413216264906,335.9688576488591,1477.2365262987064,99.20783231734053
NORTH CAROLINA,2011,9656401.0,33774,508.0,1995.0,9550.0,21721.0,340562,106144.0,217386.0,17032.0,349.75763744691216,5.260759158614063,20.65987110518712,98.89812985189825,224.93887733121272,3526.8005129447297,1099.2087010471084,2251.2113985324345,176.38041336518646
NORTH DAKOTA,2011,683932.0,1689,24.0,259.0,91.0,1315.0,13246,2433.0,9833.0,980.0,246.95437558119815,3.509120789786119,37.86926185644187,13.305416327939035,192.2705766070311,1936.7422492294554,355.7371200645678,1437.716030248621,143.2890989162665
OHIO,2011,11544951.0,35484,513.0,3631.0,16057.0,15283.0,387297,112709.0,253520.0,21068.0,307.3551373236664,4.443500886231566,31.45097800761562,139.082443918558,132.37821451126123,3354.6872567930345,976.2622639108647,2195.9382937181804,182.48669916398953
OKLAHOMA,2011,3791508.0,17243,208.0,1403.0,3282.0,12350.0,127252,36341.0,79880.0,11031.0,454.7794703321211,5.485943851364682,37.00374626665696,86.56186403932155,325.72791617477793,3356.237148912781,958.4840649155956,2106.813436764475,290.93964723271057
OREGON,2011,3871859.0,9586,82.0,1217.0,2222.0,6065.0,120594,20448.0,91099.0,9047.0,247.5813297953257,2.117845717005707,31.431929726779824,57.38845345349611,156.64310089804405,3114.627882885198,528.1184051382036,2352.8491094329625,233.66036831403207
PENNSYLVANIA,2011,12742886.0,45240,637.0,3324.0,16131.0,25148.0,283179,57850.0,208485.0,16844.0,355.0216175519423,4.998867603461257,26.085142721986212,126.58827835389879,197.34932887259603,2222.2516940040114,453.9787925592366,1636.0893442819781,132.18355716279655
RHODE ISLAND,2011,1051302.0,2602,14.0,304.0,746.0,1538.0,28141,6964.0,18890.0,2287.0,247.50262056002936,1.3316820475943163,28.916524462048017,70.95962910752571,146.29478494286133,2676.7760358108326,662.4166985319157,1796.8195627897599,217.53977448915725
SOUTH CAROLINA,2011,4679230.0,26760,320.0,1612.0,4313.0,20515.0,182685,46921.0,122100.0,13664.0,571.8889646373442,6.838732013600528,34.45011251851266,92.17328492080962,438.42683518442135,3904.167993451914,1002.7504525317199,2609.4036839394516,292.01385698074256
SOUTH DAKOTA,2011,824082.0,2094,21.0,496.0,167.0,1410.0,14979,2899.0,11134.0,946.0,254.10092684951255,2.548290097344682,60.18818515633153,20.26497363126485,171.0994779645715,1817.6589222917137,351.7853805810587,1351.0791401826518,114.79440152800328
TENNESSEE,2011,6403353.0,38944,373.0,2024.0,8081.0,28466.0,230261,62749.0,153476.0,14036.0,608.1813699791344,5.825073207739758,31.608440140657557,126.19950828886054,444.54834834187653,3595.944187365588,979.9397284516408,2396.806797938518,219.1976609754296
TEXAS,2011,25674681.0,104873,1126.0,7439.0,28395.0,67913.0,891499,215223.0,612938.0,63338.0,408.4685609141551,4.385643584042972,28.97406982388603,110.59533709493799,264.51351041128805,3472.2885164571276,838.2694219258264,2387.3246954850188,246.6943990462822
UTAH,2011,2817222.0,5494,54.0,854.0,1081.0,3505.0,83758,13122.0,64453.0,6183.0,195.01480536500142,1.9167818510575312,30.313550014872806,38.371132981355395,124.41334051771567,2973.0706348310496,465.7779898069801,2287.8211230779825,219.4715219460873
VERMONT,2011,626431.0,847,8.0,119.0,85.0,635.0,14464,3643.0,10322.0,499.0,135.2104222172913,1.2770760067748883,18.996505600776462,13.568932571983186,101.36790803775675,2308.9534202489976,581.5484865851147,1647.7473177412996,79.65761592258366
VIRGINIA,2011,8096604.0,15923,303.0,1536.0,5430.0,8654.0,182141,30597.0,141820.0,9724.0,196.66269957132644,3.7423097387497273,18.970916695444163,67.06515472412879,106.88431841300377,2249.597485563083,377.8991784703809,1751.5985714504502,120.09973564225199
WASHINGTON,2011,6830038.0,20121,162.0,2290.0,5638.0,12031.0,244146,56532.0,162779.0,24835.0,294.59572552890626,2.371875529828677,33.528363971035006,82.54712492082768,176.14836110721492,3574.5921179355078,827.6967126683628,2383.2810300616193,363.61437520552596
WEST VIRGINIA,2011,1855364.0,5861,80.0,388.0,910.0,4483.0,42189,11192.0,28743.0,2254.0,315.8948863942601,4.311822370165638,20.91233849530335,49.04697946063414,241.62374606815695,2273.893424686477,603.2239495861728,1549.183879820887,121.48559527941688
WISCONSIN,2011,5711767.0,13532,136.0,1163.0,4469.0,7764.0,138949,26654.0,104063.0,8232.0,236.9144259561008,2.38104950709649,20.36147482906778,78.24198711186924,135.9299145080673,2432.6797644231638,466.6506879569842,1821.9055504189857,144.12352604719345
WYOMING,2011,568158.0,1246,18.0,146.0,71.0,1011.0,12877,1863.0,10493.0,521.0,219.30519327370206,3.1681328081273166,25.697077221477127,12.496523854279971,177.9434593898176,2266.447009458637,327.9017456411773,1846.8454197599963,91.69984405746288
ALABAMA,2012,4822023.0,21693,342.0,1296.0,5020.0,15035.0,168878,47481.0,111523.0,9874.0,449.8734244942424,7.092458911954589,26.876686403196338,104.10568344447962,311.7985957346118,3502.223029628851,984.669712276362,2312.7844889997414,204.7688283527474
ALASKA,2012,731449.0,4412,30.0,583.0,630.0,3169.0,20037,2950.0,15565.0,1522.0,603.1862781957457,4.101447947840519,79.70480511970075,86.13040690465091,433.24961822355357,2739.3570843626826,403.3090482043178,2127.967910271256,208.080125887109
